consecutivo,tipoacuerdo,municipio,cod_municipio,subregion,fase,nropobla,aportegob,aportemun,aporteotr,fechainicio,fechafin,cantidadtotal,departamento,cod_divipola_depto,municipio_subsidio,cod_divipola_mun,programa,anio_asignacion,estado_postulacion,hogares,valor_asignado,tiene_subsidio
2020071929,Gestion,Caramanta,5145,Suroeste,Fase II,4743,0,0,0,2020-10-01,2021-06-30,1,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020070605,Gestion,Angostura,5038,Norte,Fase I,11437,109649684,0,0,2020-09-03,2020-12-15,3,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020070570,Ejecucion,Angostura,5038,Norte,Fase I,550,20000000,3000000,0,2021-01-01,2021-12-31,1,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020071945,Ejecucion,Donmatías,5237,Norte,Fase I,22243,12500000,4000000,0,2020-10-01,2021-06-30,1,ANTIOQUIA,5,DONMATÍAS,5237,MI CASA YA,2020,Asignados,2,52668180,Con subsidio
2020071139,Ejecucion,Anzá,5044,Occidente,Fase I,270,20000000,3000000,0,2021-01-01,2021-12-31,1,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020071963,Gestion,Argelia,5055,Oriente,Fase II,2264,100000000,0,0,2020-09-15,2020-12-31,0,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020071301,Ejecucion,Anzá,5044,Occidente,Fase I,218,0,0,0,2020-09-01,2020-12-31,1,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020070360,Gestion,Betania,5091,Suroeste,Fase I,50,0,0,0,2020-09-01,2020-12-31,1,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020071596,Ejecucion,Ebéjico,5240,Occidente,Fase III,12134,15000000,5000000,0,2020-10-01,2021-06-30,4,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020071359,Gestion,Anzá,5044,Occidente,Fase III,7610,42665625,0,0,2020-10-06,2020-12-15,128,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020070805,Ejecucion,Betania,5091,Suroeste,Fase II,320,20000000,3000000,0,2021-01-01,2021-12-31,1,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020071148,Ejecucion,Guatapé,5321,Oriente,Fase III,8709,4700000,2530000,0,2020-10-01,2021-06-30,1,ANTIOQUIA,5,GUATAPÉ,5321,Bolsa Ordinaria,2005,Asignados,2,12023000,Con subsidio
2020071148,Ejecucion,Guatapé,5321,Oriente,Fase III,8709,4700000,2530000,0,2020-10-01,2021-06-30,1,ANTIOQUIA,5,GUATAPÉ,5321,Bolsa Desplazados,2010,Asignados,1,15450000,Con subsidio
2020072121,Ejecucion,Betulia,5093,Suroeste,Fase I,15986,20000000,3000000,0,2021-01-01,2021-12-31,1,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020071494,Ejecucion,Guatapé,5321,Oriente,Fase III,8709,4700000,4180000,0,2020-10-01,2021-06-30,4,ANTIOQUIA,5,GUATAPÉ,5321,Bolsa Ordinaria,2005,Asignados,2,12023000,Con subsidio
2020071494,Ejecucion,Guatapé,5321,Oriente,Fase III,8709,4700000,4180000,0,2020-10-01,2021-06-30,4,ANTIOQUIA,5,GUATAPÉ,5321,Bolsa Desplazados,2010,Asignados,1,15450000,Con subsidio
2020070804,Viabilidad,Betania,5091,Suroeste,Fase II,400,90000000,0,0,2020-09-15,2020-12-31,47,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020072156,Gestion,Betulia,5093,Suroeste,Fase I,160,0,0,0,2020-09-01,2020-12-31,1,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020071223,Ejecucion,Jardín,5364,Suroeste,Fase I,14518,15000000,5000000,0,2020-10-01,2021-06-30,4,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020071375,Gestion,Anzá,5044,Occidente,Fase I,7610,592868434,0,0,2020-09-03,2021-12-15,2,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020071977,Ejecucion,Jericó,5368,Suroeste,Fase III,13706,10000000,5000000,0,2020-10-01,2021-06-30,1,ANTIOQUIA,5,JERICÓ,5368,Bolsa Esfuerzo Territorial,2003,Asignados,1,7107000,Con subsidio
2020070086,Ejecucion,Caicedo,5125,Occidente,Fase III,500,20000000,3000000,0,2021-01-01,2021-12-31,1,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020070146,Viabilidad,Betulia,5093,Suroeste,Fase I,200,30000000,10000000,0,2020-10-01,2020-12-31,44,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020072199,Ejecucion,Jericó,5368,Suroeste,Fase III,13706,15000000,5000000,0,2020-10-01,2020-06-30,4,ANTIOQUIA,5,JERICÓ,5368,Bolsa Esfuerzo Territorial,2003,Asignados,1,7107000,Con subsidio
2020070034,Ejecucion,Carolina del Príncipe,5150,Norte,Fase II,320,20000000,3000000,0,2021-01-01,2021-12-31,1,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020070378,Gestion,Arboletes,5051,Urabá,Fase I,45710,181311620,0,0,2020-09-03,2020-12-15,3,ANTIOQUIA,5,ARBOLETES,5051,MI CASA YA,2023,Asignados,1,34800000,Con subsidio
2020070224,Ejecucion,Chigorodó,5172,Urabá,Fase I,450,20000000,3000000,0,2021-01-01,2021-12-31,1,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020072129,Ejecucion,Marinilla,5440,Oriente,Fase I,67893,15000000,5000000,0,2020-10-01,2021-06-30,4,ANTIOQUIA,5,MARINILLA,5440,MI CASA YA,2019,Asignados,2,49686960,Con subsidio
2020072129,Ejecucion,Marinilla,5440,Oriente,Fase I,67893,15000000,5000000,0,2020-10-01,2021-06-30,4,ANTIOQUIA,5,MARINILLA,5440,MI CASA YA,2019,Asignados,1,24843480,Con subsidio
2020071097,Ejecucion,Caracolí,5142,Magdalena Medio,Fase II,250,25000000,0,0,2020-10-01,2020-12-31,51,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020071234,Ejecucion,Nechí,5495,Bajo Cauca,Fase I,29270,10000000,5000000,0,2020-08-15,2021-06-30,1,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020071438,Viabilidad,Ciudad Bolívar,5101,Suroeste,Fase III,150,25000000,16000000,0,2020-10-01,2020-12-31,39,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020071318,Ejecucion,Peque,5543,Occidente,Fase I,6133,4000000,1200000,0,2020-10-01,2021-06-30,1,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020070759,Viabilidad,Concepción,5206,Oriente,Fase I,100,20000000,0,0,2020-10-01,2020-12-31,30,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
