"departamento","c_digo_divipola_departamento","municipio","c_digo_divipola_municipio","programa","a_o_de_asignaci_n","estado_de_postulaci_n","hogares","valor_asignado"
"CUNDINAMARCA","25","ZIPAQUIRÁ","25899","MI CASA YA","2021","Asignados","8","145364160"
"TOLIMA","73","CARMEN DE APICALÁ","73148","Programa Vivienda Gratuita Fase I","2014","Asignados","65","2650139000"
"CALDAS","17","CHINCHINÁ","17174","VIPA","2016","Asignados","79","1613324700"
"CAUCA","19","POPAYÁN","19001","MI CASA YA","2018","Asignados","4","85936620"
"CUNDINAMARCA","25","SUTATAUSA","25781","Bolsa Desplazados","2008","Asignado con aplicación en Vivienda Gratuita","1","14907000"
"CESAR","20","SAN DIEGO","20750","Casa Digna Vida Digna","2025","Asignados","4","55679806"
"NARIÑO","52","LA TOLA","52390","Bolsa Atentados terroristas","2006","Asignados","22","188496000"
"CALDAS","17","MANIZALES","17001","MI CASA YA","2023","Asignados","8","232000000"
"CUNDINAMARCA","25","SOACHA","25754","MI CASA YA","2017","Asignados","13","199183590"
"VALLE DEL CAUCA","76","PRADERA","76563","MI CASA YA","2024","Asignados","3","91000000"
"QUINDÍO","63","CALARCÁ","63130","MI CASA YA","2023","Asignados","11","336400000"
"GUAINÍA","94","BARRANCOMINAS","94343","Casa Digna Vida Digna","2026","Asignados","35","545000842.8"
"CESAR","20","AGUACHICA","20011","MI CASA YA","2022","Asignados","1","30000000"
"CUNDINAMARCA","25","MEDINA","25438","Casa Digna Vida Digna","2025","Asignados","8","124800000"
"CAQUETÁ","18","SAN VICENTE DEL CAGUÁN","18753","Programa Vivienda Gratuita Fase II","2021","Asignados","160","6851764970"
"ATLÁNTICO","8","BARRANQUILLA","8001","MI CASA YA","2022","Asignados","30","810000000"
"NARIÑO","52","SANTA BÁRBARA","52696","Bolsa Atentados terroristas","2009","Asignados","48","524724000"
"ANTIOQUIA","5","GUARNE","5318","MI CASA YA","2023","Asignados","11","278400000"
"CUNDINAMARCA","25","SOACHA","25754","MI CASA YA","2024","Asignados","32","832000000"
"TOLIMA","73","IBAGUÉ","73001","MI CASA YA","2022","Asignados","219","5160000000"
"BOLÍVAR","13","CARTAGENA DE INDIAS","13001","MI CASA YA","2023","Apto con subsidio vencido","4","139200000"
"CÓRDOBA","23","CANALETE","23090","Bolsa Desastres Naturales","2008","Renuncia con restitucion de subsidio","25","124688750"
"CALDAS","17","CHINCHINÁ","17174","VIPA","2016","Asignados","9","179258300"
"ANTIOQUIA","5","FRONTINO","5284","Bolsa Saludable","2008","Apto con subsidio vencido","5","18460000"
"ANTIOQUIA","5","GUATAPÉ","5321","Bolsa Desplazados","2010","Asignados","1","15450000"
"VALLE DEL CAUCA","76","PALMIRA","76520","MI CASA YA","2023","Asignados","24","719200000"
"META","50","GRANADA","50313","MI CASA YA","2022","Asignados","1","20000000"
"BOYACÁ","15","PAIPA","15516","Semillero de Propietarios Ahorro","2022","Asignados","1","6000000"
"MAGDALENA","47","EL BANCO","47245","Bolsa Concejales","2008","Asignados","4","40612000"
"BOYACÁ","15","BOAVITA","15097","MI CASA YA","2023","Asignados","5","174000000"
"ANTIOQUIA","5","CONCORDIA","5209","Programa Vivienda Gratuita Fase I","2015","Asignados","2","70740000"
"TOLIMA","73","CHAPARRAL","73168","Casa Digna Vida Digna","2025","Asignados","7","109188122"
